ranking,first_name,last_name,country,birthday,prize_money
2,Novak,Djokovic,SRB,1987-05-22,107688878
16,Roger,Federer,SUI,1981-08-08,98830825
9,Rafael,Nadal,ESP,1986-06-03,78724627
1,Andy,Murray,GBR,1987-05-15,58715019
21,David,Ferrer,ESP,1982-04-02,29730348
4,Stan,Wawrinka,SUI,1985-03-28,27804631
10,Tomas,Berdych,CZE,1985-09-17,26416606
634,Lleyton,Hewitt,AUS,1981-02-24,20787586
12,Jo-Wilfried,Tsonga,FRA,1985-04-17,18951854
6,Marin,Cilic,CRO,1988-09-28,16855537
38,Juan Martin,del Potro,ARG,1988-09-23,16292702
5,Kei,Nishikori,JPN,1989-12-29,16132374
18,Richard,Gasquet,FRA,1986-06-18,14810563
3,Milos,Raonic,CAN,1990-12-27,14394667
57,Mikhail,Youzhny,RUS,1982-06-25,13374543
42,Fernando,Verdasco,ESP,1983-11-15,13091294
28,Feliciano,Lopez,ESP,1981-09-20,12908258
359,Tommy,Robredo,ESP,1982-05-01,12897457
7,Gael,Monfils,FRA,1986-09-01,12701019
25,Gilles,Simon,FRA,1984-12-27,11769181
107,Radek,Stepanek,CZE,1978-11-27,11225282
19,John,Isner,USA,1985-04-26,10730509
44,Nicolas,Almagro,ESP,1985-08-21,10360930
308,Jurgen,Melzer,AUT,1981-05-22,9836692
32,Philipp,Kohlschreiber,GER,1983-10-16,9526354
37,Marcel,Granollers,ESP,1986-04-12,8505616
130,Julien,Benneteau,FRA,1981-12-20,8265309
87,Andreas,Seppi,ITA,1984-02-21,8160172
20,Ivo,Karlovic,CRO,1979-02-28,8120303
65,Juan,Monaco,ARG,1984-03-29,8057057
49,Fabio,Fognini,ITA,1987-05-24,7908046
144,Janko,Tipsarevic,SRB,1984-06-22,7871673
36,Marcos,Baghdatis,CYP,1985-06-17,7634483
31,Sam,Querrey,USA,1987-10-07,7574679
17,Grigor,Dimitrov,BUL,1991-05-16,7475466
39,Nicolas,Mahut,FRA,1982-01-21,7423552
67,Kevin,Anderson,RSA,1986-05-18,7383675
29,Viktor,Troicki,SRB,1986-02-10,7070901
70,Guillermo,Garcia-Lopez,ESP,1983-06-04,6957849
69,Jeremy,Chardy,FRA,1987-02-12,6439026
50,Florian,Mayer,GER,1983-10-05,6186630
151,Ernests,Gulbis,LAT,1988-08-30,6142258
73,Paul-Henri,Mathieu,FRA,1982-01-12,6096286
62,Alexandr,Dolgopolov,UKR,1988-11-07,5953591
164,Albert,Montanes,ESP,1980-11-26,5843292
407,Dmitry,Tursunov,RUS,1982-12-12,5744748
14,Roberto,Bautista Agut,ESP,1988-04-14,5635995
147,Ivan,Dodig,CRO,1985-01-02,5568592
22,Pablo,Cuevas,URU,1986-01-01,5181747
8,Dominic,Thiem,AUT,1993-09-03,5161869
11,David,Goffin,BEL,1990-12-07,5090519
24,Lukasz,Kubot,POL,1982-05-16,5082384
26,Bernard,Tomic,AUS,1992-10-21,4776168
23,Jack,Sock,USA,1992-09-24,4765205
61,Thomaz,Bellucci,BRA,1987-12-30,4686457
121,Denis,Istomin,UZB,1986-09-07,4617781
294,Edouard,Roger-Vasselin,FRA,1983-11-28,4612468
109,Sergiy,Stakhovsky,UKR,1986-01-06,4482143
459,Simone,Bolelli,ITA,1985-10-08,4463912
133,Vasek,Pospisil,CAN,1990-06-23,4369355
119,Benjamin,Becker,GER,1981-06-16,4338815
935,Victor,Hanescu,ROU,1981-07-21,4330340
64,Yen-Hsun,Lu,TPE,1983-08-14,4313099
429,Pablo,Andujar,ESP,1986-01-23,4301135
59,Robin,Haase,NED,1987-04-06,4102557
139,Leonardo,Mayer,ARG,1987-05-15,4081804
47,Benoit,Paire,FRA,1989-05-08,4062237
34,Gilles,Muller,LUX,1983-05-09,4061820
91,Santiago,Giraldo,COL,1987-11-27,4034146
271,Filippo,Volandri,ITA,1981-09-05,3949631
113,Lukas,Rosol,CZE,1985-07-24,3940876
35,Martin,Klizan,SVK,1989-07-11,3893487
138,Teymuraz,Gabashvili,RUS,1985-05-23,3863546
66,Philipp,Petzschner,GER,1984-03-24,3763667
27,Albert,Ramos-Vinolas,ESP,1988-01-17,3643951
13,Nick,Kyrgios,AUS,1995-04-27,3589419
95,Carlos,Berlocq,ARG,1983-02-03,3569872
129,Rajeev,Ram,USA,1984-03-18,3544911
43,Joao,Sousa,POR,1989-03-30,3520281
282,Jerzy,Janowicz,POL,1990-11-13,3458635
60,Adrian,Mannarino,FRA,1988-06-29,3424991
88,Donald,Young,USA,1989-07-23,3290194
33,Steve,Johnson,USA,1989-12-24,3226068
89,Mikhail,Kukushkin,KAZ,1987-12-26,3131188
115,Daniel,Gimeno-Traver,ESP,1985-08-07,3126031
277,Alejandro,Falla,COL,1983-11-14,3077671
