ranking,first_name,last_name,country,birthday,prize_money
2,Roger,Federer,SUI,1981-08-08,111885682
12,Novak,Djokovic,SRB,1987-05-22,109805403
1,Rafael,Nadal,ESP,1986-06-03,94588627
16,Andy,Murray,GBR,1987-05-15,60807644
9,Stan,Wawrinka,SUI,1985-03-28,30905144
37,David,Ferrer,ESP,1982-04-02,30796561
19,Tomas,Berdych,CZE,1985-09-17,28220153
6,Marin,Cilic,CRO,1988-09-28,20919276
15,Jo-Wilfried,Tsonga,FRA,1985-04-17,20808869
11,Juan Martin,del Potro,ARG,1988-09-23,18873003
22,Kei,Nishikori,JPN,1989-12-29,17624129
31,Richard,Gasquet,FRA,1986-06-18,15840750
24,Milos,Raonic,CAN,1990-12-27,15804114
36,Feliciano,Lopez,ESP,1981-09-20,14640010
35,Fernando,Verdasco,ESP,1983-11-15,14490880
3,Grigor,Dimitrov,BUL,1991-05-16,14083976
84,Mikhail,Youzhny,RUS,1982-06-25,13863808
46,Gael,Monfils,FRA,1986-09-01,13744378
252,Tommy,Haas,GER,1978-04-03,13609987
164,Tommy,Robredo,ESP,1982-05-01,13172359
17,John,Isner,USA,1985-04-26,12567465
89,Gilles,Simon,FRA,1984-12-27,12475521
354,Radek,Stepanek,CZE,1978-11-27,11343464
151,Nicolas,Almagro,ESP,1985-08-21,10742287
29,Philipp,Kohlschreiber,GER,1983-10-16,10736926
14,Kevin,Anderson,RSA,1986-05-18,10241620
13,Sam,Querrey,USA,1987-10-07,9977508
186,Jurgen,Melzer,AUT,1981-05-22,9936146
5,Dominic,Thiem,AUT,1993-09-03,9507497
177,Marcel,Granollers,ESP,1986-04-12,9390048
27,Fabio,Fognini,ITA,1987-05-24,9337102
56,Julien,Benneteau,FRA,1981-12-20,8997245
7,David,Goffin,BEL,1990-12-07,8995195
80,Ivo,Karlovic,CRO,1979-02-28,8790533
103,Nicolas,Mahut,FRA,1982-01-21,8779268
86,Andreas,Seppi,ITA,1984-02-21,8769327
105,Janko,Tipsarevic,SRB,1984-06-22,8189576
8,Jack,Sock,USA,1992-09-24,8171779
102,Marcos,Baghdatis,CYP,1985-06-17,8147973
55,Viktor,Troicki,SRB,1986-02-10,8060087
70,Guillermo,Garcia-Lopez,ESP,1983-06-04,7454851
20,Roberto,Bautista Agut,ESP,1988-04-14,7430934
78,Jeremy,Chardy,FRA,1987-02-12,7093244
4,Alexander,Zverev,GER,1997-04-20,7041628
69,Florian,Mayer,GER,1983-10-05,6914734
38,Alexandr,Dolgopolov,UKR,1988-11-07,6894349
32,Pablo,Cuevas,URU,1986-01-01,6727812
199,Ernests,Gulbis,LAT,1988-08-30,6459404
5,Ivan,Dodig,CRO,1985-01-02,6350790
249,Paul-Henri,Mathieu,FRA,1982-01-12,6299093
487,Dmitry,Tursunov,RUS,1982-12-12,5920125
10,Pablo,Carreno Busta,ESP,1991-07-12,5746293
21,Nick,Kyrgios,AUS,1995-04-27,5514920
