ranking,first_name,last_name,country,birthday,prize_money
6,Novak,Djokovic,SRB,1987-05-22,109805403
2,Roger,Federer,SUI,1981-08-08,108250560
1,Rafael,Nadal,ESP,1986-06-03,89989532
3,Andy,Murray,GBR,1987-05-15,60807644
26,David,Ferrer,ESP,1982-04-02,30740257
8,Stan,Wawrinka,SUI,1985-03-28,30623544
19,Tomas,Berdych,CZE,1985-09-17,28171248
18,Jo-Wilfried,Tsonga,FRA,1985-04-17,20368460
5,Marin,Cilic,CRO,1988-09-28,19717289
24,Juan Martin,del Potro,ARG,1988-09-23,17815529
14,Kei,Nishikori,JPN,1989-12-29,17624129
11,Milos,Raonic,CAN,1990-12-27,15782164
30,Richard,Gasquet,FRA,1986-06-18,15524130
35,Feliciano,Lopez,ESP,1981-09-20,14499180
40,Fernando,Verdasco,ESP,1983-11-15,14246582
114,Mikhail,Youzhny,RUS,1982-06-25,13809558
36,Gael,Monfils,FRA,1986-09-01,13744378
251,Tommy,Haas,GER,1978-04-03,13609987
151,Tommy,Robredo,ESP,1982-05-01,13169076
43,Gilles,Simon,FRA,1984-12-27,12326527
17,John,Isner,USA,1985-04-26,12091123
252,Radek,Stepanek,CZE,1978-11-27,11343464
132,Nicolas,Almagro,ESP,1985-08-21,10724695
34,Philipp,Kohlschreiber,GER,1983-10-16,10574617
9,Grigor,Dimitrov,BUL,1991-05-16,10103706
15,Kevin,Anderson,RSA,1986-05-18,10097183
155,Jurgen,Melzer,AUT,1981-05-22,9936146
16,Sam,Querrey,USA,1987-10-07,9796933
134,Marcel,Granollers,ESP,1986-04-12,9130222
29,Fabio,Fognini,ITA,1987-05-24,9035091
49,Ivo,Karlovic,CRO,1979-02-28,8745984
86,Andreas,Seppi,ITA,1984-02-21,8726719
96,Julien,Benneteau,FRA,1981-12-20,8649544
109,Nicolas,Mahut,FRA,1982-01-21,8614424
7,Dominic,Thiem,AUT,1993-09-03,8320046
68,Janko,Tipsarevic,SRB,1984-06-22,8189576
122,Marcos,Baghdatis,CYP,1985-06-17,8015849
47,Viktor,Troicki,SRB,1986-02-10,7810693
104,Guillermo,Garcia-Lopez,ESP,1983-06-04,7390949
13,Roberto,Bautista Agut,ESP,1988-04-14,7143061
84,Jeremy,Chardy,FRA,1987-02-12,7006076
69,Florian,Mayer,GER,1983-10-05,6881104
12,David,Goffin,BEL,1990-12-07,6765905
52,Alexandr,Dolgopolov,UKR,1988-11-07,6712631
33,Pablo,Cuevas,URU,1986-01-01,6482648
210,Ernests,Gulbis,LAT,1988-08-30,6429955
254,Paul-Henri,Mathieu,FRA,1982-01-12,6273468
13,Ivan,Dodig,CRO,1985-01-02,6136452
21,Jack,Sock,USA,1992-09-24,6095729
585,Dmitry,Tursunov,RUS,1982-12-12,5917025
4,Alexander,Zverev,GER,1997-04-20,5503515
23,Gilles,Muller,LUX,1983-05-09,5393303
146,Bernard,Tomic,AUS,1992-10-21,5237802
10,Pablo,Carreno Busta,ESP,1991-07-12,5166514
76,Thomaz,Bellucci,BRA,1987-12-30,5157757
25,Albert,Ramos-Vinolas,ESP,1988-01-17,5149472
20,Nick,Kyrgios,AUS,1995-04-27,5148848
87,Denis,Istomin,UZB,1986-09-07,5112061
39,Robin,Haase,NED,1987-04-06,5103699
41,Benoit,Paire,FRA,1989-05-08,5012042
827,Edouard,Roger-Vasselin,FRA,1983-11-28,4897325
103,Sergiy,Stakhovsky,UKR,1986-01-06,4744488
62,Yen-Hsun,Lu,TPE,1983-08-14,4719696
82,Vasek,Pospisil,CAN,1990-06-23,4705765
204,Simone,Bolelli,ITA,1985-10-08,4694187
53,Leonardo,Mayer,ARG,1987-05-15,4671035
31,Adrian,Mannarino,FRA,1988-06-29,4413721
266,Benjamin,Becker,GER,1981-06-16,4399584
512,Pablo,Andujar,ESP,1986-01-23,4301135
131,Santiago,Giraldo,COL,1987-11-27,4278893
143,Martin,Klizan,SVK,1989-07-11,4271241
57,Joao,Sousa,POR,1989-03-30,4168474
60,Donald,Young,USA,1989-07-23,4165083
192,Lukas,Rosol,CZE,1985-07-24,4077649
45,Steve,Johnson,USA,1989-12-24,4076196
1792,Younes,El Aynaoui,MAR,1971-09-12,4044667
16,Rajeev,Ram,USA,1984-03-18,4011040
102,Carlos,Berlocq,ARG,1983-02-03,4004970
226,Teymuraz,Gabashvili,RUS,1985-05-23,3980946
1081,Filippo,Volandri,ITA,1981-09-05,3949631
27,Mischa,Zverev,GER,1987-08-22,3915454
38,Paolo,Lorenzi,ITA,1981-12-15,3890389
66,Pierre-Hugues,Herbert,FRA,1991-03-18,3877823
22,Lucas,Pouille,FRA,1994-02-23,3812306
149,Jerzy,Janowicz,POL,1990-11-13,3724713
78,Mikhail,Kukushkin,KAZ,1987-12-26,3630274
64,Horacio,Zeballos,ARG,1985-04-27,3569258
67,Dudi,Sela,ISR,1985-04-04,3524937
50,Ryan,Harrison,USA,1992-05-07,3364800
668,Daniel,Gimeno-Traver,ESP,1985-08-07,3148234
340,Alejandro,Falla,COL,1983-11-14,3100291
77,Steve,Darcis,BEL,1984-03-13,2882171
59,Jiri,Vesely,CZE,1993-07-10,2851253
65,Federico,Delbonis,ARG,1990-10-05,2778647
614,Michael,Berrer,GER,1980-07-01,2766701
119,Lukas,Lacko,SVK,1987-11-03,2727930
28,Diego,Schwartzman,ARG,1992-08-16,2700212
88,Andrey,Kuznetsov,RUS,1991-02-22,2681946
606,Andrey,Golubev,KAZ,1987-07-22,2663623
105,Dustin,Brown,GER,1984-12-08,2614772
56,Borna,Coric,CRO,1996-11-14,2362793
362,Ruben,Ramirez Hidalgo,ESP,1978-01-06,2346155
75,Malek,Jaziri,TUN,1984-01-20,2336143
182,Tobias,Kamke,GER,1986-05-21,2193026
80,Dusan,Lajovic,SRB,1990-06-30,2190776
273,Stephane,Robert,FRA,1980-05-17,2189864
48,Aljaz,Bedene,GBR,1989-07-18,2185581
1204,Jan,Hernych,CZE,1979-07-07,2178092
928,Igor,Sijsling,NED,1987-08-18,2138679
54,Jan-Lennard,Struff,GER,1990-04-25,2119413
1391,Karol,Beck,SVK,1982-04-03,2110636
212,Daniel,Brands,GER,1987-07-17,2037887
178,Ricardas,Berankis,LTU,1990-06-21,2035859
525,Marinko,Matosevic,AUS,1985-08-08,2016215
165,Marco,Chiudinelli,SUI,1981-09-10,1997040
79,Victor,Estrella Burgos,DOM,1980-08-02,1952311
286,Illya,Marchenko,UKR,1987-09-08,1920762
140,Matthew,Ebden,AUS,1987-11-26,1913980
170,Sam,Groth,AUS,1987-10-19,1899882
46,Kyle,Edmund,GBR,1995-01-08,1877502
89,Evgeny,Donskoy,RUS,1990-05-09,1857776
209,Maximo,Gonzalez,ARG,1983-07-20,1851607
346,Frank,Dancevic,CAN,1984-09-26,1833147
73,Guido,Pella,ARG,1990-05-17,1791659
475,Andreas,Haider-Maurer,AUT,1987-03-22,1751891
55,Damir,Dzumhur,BIH,1992-05-20,1745115
139,Go,Soeda,JPN,1984-09-05,1740196
408,Thiemo,de Bakker,NED,1988-09-19,1716940
100,Blaz,Kavcic,SLO,1987-03-05,1700061
176,Denis,Kudla,USA,1992-08-17,1644902
191,Tim,Smyczek,USA,1987-12-30,1643189
32,Karen,Khachanov,RUS,1996-05-21,1617029
937,Andreas,Beck,GER,1986-02-05,1564600
183,Kenny,De Schepper,FRA,1987-05-29,1466260
74,Rogerio,Dutra Silva,BRA,1984-02-05,1446560
42,Yuichi,Sugita,JPN,1988-09-18,1437348
303,Fred,Gil,POR,1985-03-24,1434119
642,Pere,Riba,ESP,1988-04-07,1360863
92,Ruben,Bemelmans,BEL,1988-01-14,1345182
108,Daniel,Evans,GBR,1990-05-23,1339693
223,Marsel,Ilhan,TUR,1987-06-11,1337997
414,Michal,Przysiezny,POL,1984-02-16,1335040
185,John,Millman,AUS,1989-06-14,1334156
63,Nikoloz,Basilashvili,GEO,1992-02-23,1305551
216,Joao,Souza,BRA,1988-05-27,1299522
58,Jared,Donaldson,USA,1996-10-09,1290726
165,Tatsuma,Ito,JPN,1988-05-18,1289025
