ranking,first_name,last_name,country,birthday,prize_money
2,Roger,Federer,SUI,1981-08-08,109853682
7,Novak,Djokovic,SRB,1987-05-22,109805403
1,Rafael,Nadal,ESP,1986-06-03,91199322
3,Andy,Murray,GBR,1987-05-15,60807644
34,David,Ferrer,ESP,1982-04-02,30778187
9,Stan,Wawrinka,SUI,1985-03-28,30623544
19,Tomas,Berdych,CZE,1985-09-17,28220153
15,Jo-Wilfried,Tsonga,FRA,1985-04-17,20774837
5,Marin,Cilic,CRO,1988-09-28,20195971
17,Juan Martin,del Potro,ARG,1988-09-23,18503698
20,Kei,Nishikori,JPN,1989-12-29,17624129
12,Milos,Raonic,CAN,1990-12-27,15804114
30,Richard,Gasquet,FRA,1986-06-18,15801652
33,Feliciano,Lopez,ESP,1981-09-20,14587401
39,Fernando,Verdasco,ESP,1983-11-15,14356970
87,Mikhail,Youzhny,RUS,1982-06-25,13860043
46,Gael,Monfils,FRA,1986-09-01,13744378
245,Tommy,Haas,GER,1978-04-03,13609987
151,Tommy,Robredo,ESP,1982-05-01,13170484
74,Gilles,Simon,FRA,1984-12-27,12457147
14,John,Isner,USA,1985-04-26,12317944
347,Radek,Stepanek,CZE,1978-11-27,11343464
143,Nicolas,Almagro,ESP,1985-08-21,10742287
29,Philipp,Kohlschreiber,GER,1983-10-16,10736926
8,Grigor,Dimitrov,BUL,1991-05-16,10490430
16,Kevin,Anderson,RSA,1986-05-18,10207589
13,Sam,Querrey,USA,1987-10-07,9938409
184,Jurgen,Melzer,AUT,1981-05-22,9936146
27,Fabio,Fognini,ITA,1987-05-24,9337102
176,Marcel,Granollers,ESP,1986-04-12,9282393
70,Ivo,Karlovic,CRO,1979-02-28,8790533
85,Andreas,Seppi,ITA,1984-02-21,8761747
83,Julien,Benneteau,FRA,1981-12-20,8743186
111,Nicolas,Mahut,FRA,1982-01-21,8642645
6,Dominic,Thiem,AUT,1993-09-03,8430950
98,Janko,Tipsarevic,SRB,1984-06-22,8189576
93,Marcos,Baghdatis,CYP,1985-06-17,8145858
53,Viktor,Troicki,SRB,1986-02-10,8041713
72,Guillermo,Garcia-Lopez,ESP,1983-06-04,7450783
10,David,Goffin,BEL,1990-12-07,7412648
23,Roberto,Bautista Agut,ESP,1988-04-14,7366387
88,Jeremy,Chardy,FRA,1987-02-12,7059213
68,Florian,Mayer,GER,1983-10-05,6914734
37,Alexandr,Dolgopolov,UKR,1988-11-07,6894349
