ranking,first_name,last_name,country,birthday,prize_money
1,Novak,Djokovic,SRB,1987-05-22,104563310
2,Andy,Murray,GBR,1987-05-15,50994142
3,Stan,Wawrinka,SUI,1985-03-28,26551364
4,Kei,Nishikori,JPN,1989-12-29,15043162
5,Rafael,Nadal,ESP,1986-06-03,78688782
6,Milos,Raonic,CAN,1990-12-27,12644226
7,Roger,Federer,SUI,1981-08-08,98830825
8,Gael,Monfils,FRA,1986-09-01,12073444
9,Tomas,Berdych,CZE,1985-09-17,25998356
10,Dominic,Thiem,AUT,1993-09-03,4463916
11,Marin,Cilic,CRO,1988-09-28,15410533
12,David,Goffin,BEL,1990-12-07,4519740
13,Jo-Wilfried,Tsonga,FRA,1985-04-17,18280637
14,Nick,Kyrgios,AUS,1995-04-27,3553574
15,David,Ferrer,ESP,1982-04-02,29557894
16,Lucas,Pouille,FRA,1994-02-23,2329147
17,Richard,Gasquet,FRA,1986-06-18,14614121
18,Grigor,Dimitrov,BUL,1991-05-16,7326177
19,Roberto,Bautista Agut,ESP,1988-04-14,5064009
20,Ivo,Karlovic,CRO,1979-02-28,7946021
21,Alexander,Zverev,GER,1997-04-20,1827543
22,Pablo,Cuevas,URU,1986-01-01,5041045
23,Bernard,Tomic,AUS,1992-10-21,4756818
24,Steve,Johnson,USA,1989-12-24,3125963
25,Jack,Sock,USA,1992-09-24,4209281
26,John,Isner,USA,1985-04-26,10082617
27,Albert,Ramos-Vinolas,ESP,1988-01-17,3507391
28,Feliciano,Lopez,ESP,1981-09-20,12711787
29,Sam,Querrey,USA,1987-10-07,7548359
30,Philipp,Kohlschreiber,GER,1983-10-16,9420097
31,Viktor,Troicki,SRB,1986-02-10,6900043
32,Gilles,Simon,FRA,1984-12-27,11415931
33,Martin,Klizan,SVK,1989-07-11,3830921
34,Joao,Sousa,POR,1989-03-30,3421149
35,Pablo,Carreno Busta,ESP,1991-07-12,2530688
36,Marcos,Baghdatis,CYP,1985-06-17,7581490
37,Paolo,Lorenzi,ITA,1981-12-15,2771151
38,Gilles,Muller,LUX,1983-05-09,3923714
39,Nicolas,Mahut,FRA,1982-01-21,7249302
40,Kevin,Anderson,RSA,1986-05-18,7315356
41,Borna,Coric,CRO,1996-11-14,1605559
42,Andrey,Kuznetsov,RUS,1991-02-22,2189873
43,Marcel,Granollers,ESP,1986-04-12,8295668
44,Fernando,Verdasco,ESP,1983-11-15,13022801
45,Nicolas,Almagro,ESP,1985-08-21,10281403
46,Federico,Delbonis,ARG,1990-10-05,2312049
47,Benoit,Paire,FRA,1989-05-08,3987074
48,Kyle,Edmund,GBR,1995-01-08,1070703
49,Malek,Jaziri,TUN,1984-01-20,1746402
50,Fabio,Fognini,ITA,1987-05-24,7775671
51,Mikhail,Youzhny,RUS,1982-06-25,13331525
52,Jiri,Vesely,CZE,1993-07-10,2132876
53,Stephane,Robert,FRA,1980-05-17,1900359
54,Daniel,Evans,GBR,1990-05-23,909486
55,Guido,Pella,ARG,1990-05-17,1340559
56,Karen,Khachanov,RUS,1996-05-21,526108
57,Alexandr,Dolgopolov,UKR,1988-11-07,5953591
58,Florian,Mayer,GER,1983-10-05,6129709
59,Adrian,Mannarino,FRA,1988-06-29,3375884
60,Robin,Haase,NED,1987-04-06,4063672
61,Gastao,Elias,POR,1990-11-24,761359
62,Illya,Marchenko,UKR,1987-09-08,1730040
63,Juan Martin,del Potro,ARG,1988-09-23,16113682
64,Dustin,Brown,GER,1984-12-08,2120560
65,Thomaz,Bellucci,BRA,1987-12-30,4660050
66,Facundo,Bagnis,ARG,1990-02-27,844457
67,Paul-Henri,Mathieu,FRA,1982-01-12,6072617
68,Dudi,Sela,ISR,1985-04-04,3055563
69,Diego,Schwartzman,ARG,1992-08-16,1323919
70,Juan,Monaco,ARG,1984-03-29,8057057
71,Taylor,Fritz,USA,1997-10-28,505588
72,Gerald,Melzer,AUT,1990-07-13,448883
73,Horacio,Zeballos,ARG,1985-04-27,2713901
74,John,Millman,AUS,1989-06-14,1046147
75,Guillermo,Garcia-Lopez,ESP,1983-06-04,6916116
76,Ricardas,Berankis,LTU,1990-06-21,1833207
77,Damir,Dzumhur,BIH,1992-05-20,1099380
78,Dusan,Lajovic,SRB,1990-06-30,1686635
79,Yen-Hsun,Lu,TPE,1983-08-14,4279839
80,Jeremy,Chardy,FRA,1987-02-12,6429480
81,Inigo,Cervantes,ESP,1989-11-30,968353
82,Donald,Young,USA,1989-07-23,3259039
83,Victor,Estrella Burgos,DOM,1980-08-02,1584581
84,Carlos,Berlocq,ARG,1983-02-03,3565382
85,Aljaz,Bedene,GBR,1989-07-18,1633238
86,Pierre-Hugues,Herbert,FRA,1991-03-18,2698633
87,Adam,Pavlasek,CZE,1994-10-08,274994
88,Thiago,Monteiro,BRA,1994-05-31,206728
89,Mikhail,Kukushkin,KAZ,1987-12-26,3118573
90,Taro,Daniel,JPN,1993-01-27,586601
91,Yuichi,Sugita,JPN,1988-09-18,838053
92,Ivan,Dodig,CRO,1985-01-02,5492614
93,Andreas,Seppi,ITA,1984-02-21,8110216
94,Lukas,Rosol,CZE,1985-07-24,3903697
95,Jan-Lennard,Struff,GER,1990-04-25,1445168
96,Radek,Stepanek,CZE,1978-11-27,11225282
97,Evgeny,Donskoy,RUS,1990-05-09,1467975
98,Yoshihito,Nishioka,JPN,1995-09-27,550286
99,Jordan,Thompson,AUS,1994-04-20,450224
100,Frances,Tiafoe,USA,1998-01-20,323796
101,Radu,Albot,MDA,1989-11-11,761867
102,Konstantin,Kravchuk,RUS,1985-02-23,755658
103,Ernests,Gulbis,LAT,1988-08-30,6142258
104,Nikoloz,Basilashvili,GEO,1992-02-23,614716
105,Renzo,Olivo,ARG,1992-03-15,443463
106,Ryan,Harrison,USA,1992-05-07,2266067
107,Rogerio,Dutra Silva,BRA,1984-02-03,937665
108,Jared,Donaldson,USA,1996-10-09,592644
109,Thomas,Fabbiano,ITA,1989-05-26,613223
110,Mischa,Zverev,GER,1987-08-22,2391529
111,Teymuraz,Gabashvili,RUS,1985-05-23,3859588
112,Bjorn,Fratangelo,USA,1993-07-19,493911
113,Rajeev,Ram,USA,1984-03-18,3395378
114,Daniel,Gimeno-Traver,ESP,1985-08-07,3126031
115,Steve,Darcis,BEL,1984-03-13,2397781
116,Lukas,Lacko,SVK,1987-11-03,2441103
117,Andrej,Martin,SVK,1989-09-20,628350
118,Joao,Souza,BRA,1988-05-27,1221021
119,Sergiy,Stakhovsky,UKR,1986-01-06,4465649
120,Marco,Chiudinelli,SUI,1981-09-10,1890295
121,Igor,Sijsling,NED,1987-08-18,2117346
122,Daniil,Medvedev,RUS,1996-02-11,153798
123,Benjamin,Becker,GER,1981-06-16,4311788
124,Santiago,Giraldo,COL,1987-11-27,4011221
125,Denis,Istomin,UZB,1986-09-07,4593503
126,Guido,Andreozzi,ARG,1991-08-05,390265
127,Leonardo,Mayer,ARG,1987-05-15,4072042
128,Jozef,Kovalik,SVK,1992-11-04,315669
129,Go,Soeda,JPN,1984-09-05,1600373
130,Darian,King,BAR,1992-04-26,157867
131,Vasek,Pospisil,CAN,1990-06-23,4255204
132,Nicolas,Kicker,ARG,1992-08-16,175966
133,Tobias,Kamke,GER,1986-05-21,2077809
134,Tim,Smyczek,USA,1987-12-30,1470317
135,Vincent,Millot,FRA,1986-01-30,707537
136,Jan,Satral,CZE,1990-07-24,214166
137,Roberto,Carballes Baena,ESP,1993-03-23,387717
66,Maximo,Gonzalez,ARG,1983-07-20,1760083
139,Henri,Laaksonen,SUI,1992-03-31,330481
140,Hyeon,Chung,KOR,1996-05-19,605700
141,Daniel,Brands,GER,1987-07-17,1936380
142,Ruben,Ramirez Hidalgo,ESP,1978-01-06,2310075
143,Alessandro,Giannessi,ITA,1990-05-30,412684
144,Jason,Jung,TPE,1989-06-15,169913
145,Arthur,De Greef,BEL,1992-03-27,166962
146,Thiemo,de Bakker,NED,1988-09-19,1704597
147,Denis,Kudla,USA,1992-08-17,1503377
148,Dennis,Novikov,USA,1993-11-06,387638
149,James,Duckworth,AUS,1992-01-21,1018506
150,Albert,Montanes,ESP,1980-11-26,5843292
151,Marton,Fucsovics,HUN,1992-02-08,363823
152,Marco,Trungelliti,ARG,1990-01-31,377606
153,Michael,Berrer,GER,1980-07-01,2755966
144,Saketh,Myneni,IND,1987-10-19,236912
155,Elias,Ymer,SWE,1996-04-10,386679
156,Stefan,Kozlov,USA,1998-02-01,176140
157,Duckhee,Lee,KOR,1998-05-29,113765
158,Janko,Tipsarevic,SRB,1984-06-22,7826387
159,Peter,Polansky,CAN,1988-06-15,735106
160,Ernesto,Escobedo,USA,1996-07-04,164789
161,Grega,Zemlja,SLO,1986-09-29,1202139
162,Tatsuma,Ito,JPN,1988-05-18,1172332
163,Steven,Diez,CAN,1991-03-17,275912
164,Kenny,De Schepper,FRA,1987-05-29,1364297
165,Constant,Lestienne,FRA,1992-05-23,111285
166,Andrey,Rublev,RUS,1997-10-20,345368
167,Noah,Rubin,USA,1996-02-21,213895
168,Luca,Vanni,ITA,1985-06-04,464008
169,Ilya,Ivashka,BLR,1994-02-24,112343
170,Quentin,Halys,FRA,1996-10-26,325666
171,Laslo,Djere,SRB,1995-06-02,163803
172,Kimmer,Coppejans,BEL,1994-02-07,252065
173,Alexander,Kudryavtsev,RUS,1985-10-26,861620
174,Mirza,Basic,BIH,1991-07-12,335238
175,Andrew,Whittington,AUS,1993-08-11,190804
176,Enrique,Lopez-Perez,ESP,1991-06-03,228096
177,Maximilian,Marterer,GER,1995-06-15,101164
178,Marco,Cecchinato,ITA,1992-09-30,547207
179,Agustin,Velotti,ARG,1992-05-24,233018
180,Federico,Gaio,ITA,1992-03-05,188187
181,Marko,Tepavac,SRB,1994-04-05,79201
182,Di,Wu,CHN,1991-09-14,497481
183,Matthew,Barton,AUS,1991-12-18,236087
184,Joris,De Loore,BEL,1993-04-21,86823
