ranking,first_name,last_name,country,birthday,prize_money
2,Novak,Djokovic,SRB,1987-05-22,108100102
4,Roger,Federer,SUI,1981-08-08,103990195
5,Rafael,Nadal,ESP,1986-06-03,80945547
1,Andy,Murray,GBR,1987-05-15,59557050
34,David,Ferrer,ESP,1982-04-02,29885457
3,Stan,Wawrinka,SUI,1985-03-28,29118542
13,Tomas,Berdych,CZE,1985-09-17,26907719
10,Jo-Wilfried,Tsonga,FRA,1985-04-17,19854857
8,Marin,Cilic,CRO,1988-09-28,17143346
7,Kei,Nishikori,JPN,1989-12-29,16695635
35,Juan Martin,del Potro,ARG,1988-09-23,16428952
22,Richard,Gasquet,FRA,1986-06-18,15029781
6,Milos,Raonic,CAN,1990-12-27,14813395
31,Fernando,Verdasco,ESP,1983-11-15,13585565
88,Mikhail,Youzhny,RUS,1982-06-25,13498657
826,Tommy,Haas,GER,1978-04-03,13372290
40,Feliciano,Lopez,ESP,1981-09-20,13094523
11,Gael,Monfils,FRA,1986-09-01,13027979
385,Tommy,Robredo,ESP,1982-05-01,12958132
30,Gilles,Simon,FRA,1984-12-27,11957188
95,Radek,Stepanek,CZE,1978-11-27,11343464
23,John,Isner,USA,1985-04-26,10960183
55,Nicolas,Almagro,ESP,1985-08-21,10443098
156,Jurgen,Melzer,AUT,1981-05-22,9916405
32,Philipp,Kohlschreiber,GER,1983-10-16,9854479
45,Marcel,Granollers,ESP,1986-04-12,8768579
12,Grigor,Dimitrov,BUL,1991-05-16,8385991
28,Fabio,Fognini,ITA,1987-05-24,8366557
74,Andreas,Seppi,ITA,1984-02-21,8361006
111,Julien,Benneteau,FRA,1981-12-20,8347070
21,Ivo,Karlovic,CRO,1979-02-28,8339877
25,Sam,Querrey,USA,1987-10-07,8180424
124,Juan,Monaco,ARG,1984-03-29,8084437
90,Janko,Tipsarevic,SRB,1984-06-22,7911898
54,Marcos,Baghdatis,CYP,1985-06-17,7742584
46,Nicolas,Mahut,FRA,1982-01-21,7682403
67,Kevin,Anderson,RSA,1986-05-18,7439970
38,Viktor,Troicki,SRB,1986-02-10,7348697
94,Guillermo,Garcia-Lopez,ESP,1983-06-04,7155819
66,Jeremy,Chardy,FRA,1987-02-12,6667842
49,Florian,Mayer,GER,1983-10-05,6307227
68,Alexandr,Dolgopolov,UKR,1988-11-07,6217792
115,Paul-Henri,Mathieu,FRA,1982-01-12,6177014
175,Ernests,Gulbis,LAT,1988-08-30,6149433
