ranking,first_name,last_name,country,birthday,prize_money
1,Novak,Djokovic,SRB,1987-05-22,104820785
7,Roger,Federer,SUI,1981-08-08,98830825
6,Rafael,Nadal,ESP,1986-06-03,78724627
2,Andy,Murray,GBR,1987-05-15,52037517
19,David,Ferrer,ESP,1982-04-02,29593384
3,Stan,Wawrinka,SUI,1985-03-28,26619354
10,Tomas,Berdych,CZE,1985-09-17,26034201
15,Jo-Wilfried,Tsonga,FRA,1985-04-17,18431927
42,Juan Martin,del Potro,ARG,1988-09-23,16243600
12,Marin,Cilic,CRO,1988-09-28,15486053
5,Kei,Nishikori,JPN,1989-12-29,15043162
16,Richard,Gasquet,FRA,1986-06-18,14744038
51,Mikhail,Youzhny,RUS,1982-06-25,13358751
45,Fernando,Verdasco,ESP,1983-11-15,13050027
487,Tommy,Robredo,ESP,1982-05-01,12892312
30,Feliciano,Lopez,ESP,1981-09-20,12767997
4,Milos,Raonic,CAN,1990-12-27,12712216
8,Gael,Monfils,FRA,1986-09-01,12152019
24,Gilles,Simon,FRA,1984-12-27,11683991
103,Radek,Stepanek,CZE,1978-11-27,11225282
43,Nicolas,Almagro,ESP,1985-08-21,10329435
27,John,Isner,USA,1985-04-26,10269792
417,Jurgen,Melzer,AUT,1981-05-22,9802881
33,Philipp,Kohlschreiber,GER,1983-10-16,9475637
39,Marcel,Granollers,ESP,1986-04-12,8394449
183,Julien,Benneteau,FRA,1981-12-20,8228516
87,Andreas,Seppi,ITA,1984-02-21,8130458
69,Juan,Monaco,ARG,1984-03-29,8057057
23,Ivo,Karlovic,CRO,1979-02-28,7983339
49,Fabio,Fognini,ITA,1987-05-24,7878331
138,Janko,Tipsarevic,SRB,1984-06-22,7871272
36,Marcos,Baghdatis,CYP,1985-06-17,7589365
29,Sam,Querrey,USA,1987-10-07,7574679
18,Grigor,Dimitrov,BUL,1991-05-16,7393563
52,Kevin,Anderson,RSA,1986-05-18,7369168
41,Nicolas,Mahut,FRA,1982-01-21,7264406
28,Viktor,Troicki,SRB,1986-02-10,6980183
76,Guillermo,Garcia-Lopez,ESP,1983-06-04,6943342
75,Jeremy,Chardy,FRA,1987-02-12,6439026
55,Florian,Mayer,GER,1983-10-05,6159644
146,Ernests,Gulbis,LAT,1988-08-30,6142258
65,Paul-Henri,Mathieu,FRA,1982-01-12,6078891
62,Alexandr,Dolgopolov,UKR,1988-11-07,5953591
160,Albert,Montanes,ESP,1980-11-26,5843292
404,Dmitry,Tursunov,RUS,1982-12-12,5744748
14,Roberto,Bautista Agut,ESP,1988-04-14,5593314
8,Ivan,Dodig,CRO,1985-01-02,5502538
21,Pablo,Cuevas,URU,1986-01-01,5101465
25,Bernard,Tomic,AUS,1992-10-21,4776168
58,Thomaz,Bellucci,BRA,1987-12-30,4685130
11,David,Goffin,BEL,1990-12-07,4682207
144,Denis,Istomin,UZB,1986-09-07,4607978
223,Edouard,Roger-Vasselin,FRA,1983-11-28,4584683
22,Jack,Sock,USA,1992-09-24,4559985
128,Sergiy,Stakhovsky,UKR,1986-01-06,4472284
9,Dominic,Thiem,AUT,1993-09-03,4463916
458,Simone,Bolelli,ITA,1985-10-08,4463912
112,Vasek,Pospisil,CAN,1990-06-23,4333719
113,Benjamin,Becker,GER,1981-06-16,4323083
82,Yen-Hsun,Lu,TPE,1983-08-14,4302299
430,Pablo,Andujar,ESP,1986-01-23,4299932
129,Leonardo,Mayer,ARG,1987-05-15,4077142
64,Robin,Haase,NED,1987-04-06,4074257
100,Santiago,Giraldo,COL,1987-11-27,4029861
44,Benoit,Paire,FRA,1989-05-08,4029194
272,Filippo,Volandri,ITA,1981-09-05,3949631
104,Lukas,Rosol,CZE,1985-07-24,3935197
37,Gilles,Muller,LUX,1983-05-09,3931590
118,Teymuraz,Gabashvili,RUS,1985-05-23,3863145
35,Martin,Klizan,SVK,1989-07-11,3855826
13,Nick,Kyrgios,AUS,1995-04-27,3589419
89,Carlos,Berlocq,ARG,1983-02-03,3565382
26,Albert,Ramos-Vinolas,ESP,1988-01-17,3552916
240,Jerzy,Janowicz,POL,1990-11-13,3458635
34,Joao,Sousa,POR,1989-03-30,3452329
111,Rajeev,Ram,USA,1984-03-18,3405903
53,Adrian,Mannarino,FRA,1988-06-29,3388744
83,Donald,Young,USA,1989-07-23,3265314
31,Steve,Johnson,USA,1989-12-24,3175239
97,Mikhail,Kukushkin,KAZ,1987-12-26,3131188
116,Daniel,Gimeno-Traver,ESP,1985-08-07,3126031
235,Alejandro,Falla,COL,1983-11-14,3075781
71,Dudi,Sela,ISR,1985-04-04,3056423
38,Paolo,Lorenzi,ITA,1981-12-15,2826541
154,Michael,Berrer,GER,1980-07-01,2766701
78,Horacio,Zeballos,ARG,1985-04-27,2721209
90,Pierre-Hugues,Herbert,FRA,1991-03-18,2710287
32,Pablo,Carreno Busta,ESP,1991-07-12,2680028
228,Andrey,Golubev,KAZ,1987-07-22,2644538
72,Mischa,Zverev,GER,1987-08-22,2522454
117,Lukas,Lacko,SVK,1987-11-03,2451202
115,Steve,Darcis,BEL,1984-03-13,2409967
17,Lucas,Pouille,FRA,1994-02-23,2397137
48,Federico,Delbonis,ARG,1990-10-05,2340411
143,Ruben,Ramirez Hidalgo,ESP,1978-01-06,2310115
98,Ryan,Harrison,USA,1992-05-07,2282495
47,Andrey,Kuznetsov,RUS,1991-02-22,2207513
405,Jan,Hernych,CZE,1979-07-07,2177478
56,Jiri,Vesely,CZE,1993-07-10,2135476
68,Dustin,Brown,GER,1984-12-08,2131145
141,Igor,Sijsling,NED,1987-08-18,2118668
124,Tobias,Kamke,GER,1986-05-21,2095776
217,Marinko,Matosevic,AUS,1985-08-08,2004102
50,Stephane,Robert,FRA,1980-05-17,1959039
147,Daniel,Brands,GER,1987-07-17,1939204
20,Alexander,Zverev,GER,1997-04-20,1932630
119,Marco,Chiudinelli,SUI,1981-09-10,1894413
91,Ricardas,Berankis,LTU,1990-06-21,1845197
257,Frank,Dancevic,CAN,1984-09-26,1776444
142,Maximo,Gonzalez,ARG,1983-07-20,1769043
61,Malek,Jaziri,TUN,1984-01-20,1753196
