ranking,first_name,last_name,country,birthday,prize_money
2,Novak,Djokovic,SRB,1987-05-22,107898543
17,Roger,Federer,SUI,1981-08-08,98830825
9,Rafael,Nadal,ESP,1986-06-03,78737302
1,Andy,Murray,GBR,1987-05-15,58828644
23,David,Ferrer,ESP,1982-04-02,29745503
4,Stan,Wawrinka,SUI,1985-03-28,27828006
10,Tomas,Berdych,CZE,1985-09-17,26476416
636,Lleyton,Hewitt,AUS,1981-02-24,20787586
12,Jo-Wilfried,Tsonga,FRA,1985-04-17,18985934
7,Marin,Cilic,CRO,1988-09-28,16863177
39,Juan Martin,del Potro,ARG,1988-09-23,16292702
5,Kei,Nishikori,JPN,1989-12-29,16175374
18,Richard,Gasquet,FRA,1986-06-18,14810563
3,Milos,Raonic,CAN,1990-12-27,14416912
70,Mikhail,Youzhny,RUS,1982-06-25,13388668
40,Fernando,Verdasco,ESP,1983-11-15,13156574
29,Feliciano,Lopez,ESP,1981-09-20,12915943
399,Tommy,Robredo,ESP,1982-05-01,12897457
6,Gael,Monfils,FRA,1986-09-01,12701019
25,Gilles,Simon,FRA,1984-12-27,11774736
102,Radek,Stepanek,CZE,1978-11-27,11277012
19,John,Isner,USA,1985-04-26,10744714
42,Nicolas,Almagro,ESP,1985-08-21,10404905
300,Jurgen,Melzer,AUT,1981-05-22,9840707
33,Philipp,Kohlschreiber,GER,1983-10-16,9562314
38,Marcel,Granollers,ESP,1986-04-12,8514216
137,Julien,Benneteau,FRA,1981-12-20,8265309
89,Andreas,Seppi,ITA,1984-02-21,8160172
21,Ivo,Karlovic,CRO,1979-02-28,8154383
64,Juan,Monaco,ARG,1984-03-29,8057057
48,Fabio,Fognini,ITA,1987-05-24,7914401
104,Janko,Tipsarevic,SRB,1984-06-22,7886073
36,Marcos,Baghdatis,CYP,1985-06-17,7672478
32,Sam,Querrey,USA,1987-10-07,7585329
15,Grigor,Dimitrov,BUL,1991-05-16,7554576
41,Nicolas,Mahut,FRA,1982-01-21,7440422
80,Kevin,Anderson,RSA,1986-05-18,7383675
35,Viktor,Troicki,SRB,1986-02-10,7103676
74,Guillermo,Garcia-Lopez,ESP,1983-06-04,6966929
72,Jeremy,Chardy,FRA,1987-02-12,6497531
49,Florian,Mayer,GER,1983-10-05,6208085
149,Ernests,Gulbis,LAT,1988-08-30,6142258
75,Paul-Henri,Mathieu,FRA,1982-01-12,6109176
69,Alexandr,Dolgopolov,UKR,1988-11-07,5962441
